Kode,Sektor,Nama Perusahaan,Papan Pencatatan
ERAL,Consumer Cyclicals,Sinar Eka Selaras Tbk.,Utama
ERTX,Consumer Cyclicals,Eratex Djaja Tbk.,Pengembangan
ESIP,Basic Materials,Sinergi Inti Plastindo Tbk.,Pengembangan
ESSA,Basic Materials,ESSA Industries Indonesia Tbk.,Utama
ESTA,Consumer Cyclicals,Esta Multi Usaha Tbk.,Pengembangan
ESTI,Consumer Cyclicals,Ever Shine Tex Tbk.,Pengembangan
ETWA,Basic Materials,Eterindo Wahanatama Tbk,Pemantauan Khusus
EURO,Consumer Non-Cyclicals,Estee Gold Feet Tbk.,Akselerasi
EXCL,Infrastructures,XLSMART Telecom Sejahtera Tbk.,Utama
FAPA,Consumer Non-Cyclicals,FAP Agri Tbk.,Pengembangan
FAST,Consumer Cyclicals,Fast Food Indonesia Tbk.,Pengembangan
FASW,Basic Materials,Fajar Surya Wisesa Tbk.,Pemantauan Khusus
FILM,Consumer Cyclicals,MD Entertainment Tbk.,Utama
FIMP,Infrastructures,Fimperkasa Utama Tbk.,Pemantauan Khusus
FIRE,Energy,Alfa Energi Investama Tbk.,Pengembangan
FISH,Consumer Non-Cyclicals,FKS Multi Agro Tbk.,Utama
FITT,Consumer Cyclicals,Fortune Resources Investment T,Pengembangan
FLMC,Consumer Non-Cyclicals,Falmaco Nonwoven Industri Tbk.,Akselerasi
FMII,Properties & Real Estate,Fortune Mate Indonesia Tbk,Pengembangan
FOLK,Industrials,Multi Garam Utama Tbk.,Pengembangan
FOOD,Consumer Non-Cyclicals,Sentra Food Indonesia Tbk.,Pemantauan Khusus
FORE,Consumer Non-Cyclicals,Fore Kopi Indonesia Tbk.,Pengembangan
FORU,Consumer Cyclicals,Fortune Indonesia Tbk,Pengembangan
FPNI,Basic Materials,Lotte Chemical Titan Tbk.,Pengembangan
FUJI,Financials,Fuji Finance Indonesia Tbk.,Pengembangan
FUTR,Consumer Cyclicals,Futura Energi Global Tbk.,Pengembangan
FWCT,Basic Materials,Wijaya Cahaya Timber Tbk.,Pengembangan
GAMA,Properties & Real Estate,Aksara Global Development Tbk.,Pemantauan Khusus
GDST,Basic Materials,Gunawan Dianjaya Steel Tbk.,Pengembangan
GDYR,Consumer Cyclicals,Goodyear Indonesia Tbk.,Pengembangan
GEMA,Consumer Cyclicals,Gema Grahasarana Tbk.,Pengembangan
GEMS,Energy,Golden Energy Mines Tbk.,Utama
GGRM,Consumer Non-Cyclicals,Gudang Garam Tbk.,Utama
GGRP,Basic Materials,Gunung Raja Paksi Tbk.,Pengembangan
GHON,Infrastructures,Gihon Telekomunikasi Indonesia,Pengembangan
GIAA,Transportation & Logistic,Garuda Indonesia (Persero) Tbk,Pengembangan
GJTL,Consumer Cyclicals,Gajah Tunggal Tbk.,Utama
GLOB,Consumer Cyclicals,Globe Kita Terang Tbk.,Pemantauan Khusus
GLVA,Technology,Galva Technologies Tbk.,Utama
GMFI,Infrastructures,Garuda Maintenance Facility Ae,Pengembangan
GMTD,Properties & Real Estate,Gowa Makassar Tourism Developm,Pengembangan
GOLD,Infrastructures,Visi Telekomunikasi Infrastruk,Pengembangan
GOLF,Consumer Cyclicals,Intra Golflink Resorts Tbk.,Utama
GOLL,Consumer Non-Cyclicals,Golden Plantation Tbk.,Pemantauan Khusus
GOOD,Consumer Non-Cyclicals,Garudafood Putra Putri Jaya Tb,Utama
GOTO,Technology,GoTo Gojek Tokopedia Tbk.,Pengembangan
GPRA,Properties & Real Estate,Perdana Gapuraprima Tbk.,Pengembangan
GPSO,Industrials,Geoprima Solusi Tbk.,Pengembangan
GRIA,Properties & Real Estate,Ingria Pratama Capitalindo Tbk,Pengembangan
GRPH,Consumer Cyclicals,Griptha Putra Persada Tbk.,Pemantauan Khusus
GRPM,Consumer Non-Cyclicals,Graha Prima Mentari Tbk.,Akselerasi
GSMF,Financials,Equity Development Investment,Pengembangan
GTBO,Energy,Garda Tujuh Buana Tbk,Pemantauan Khusus
GTRA,Transportation & Logistic,Grahaprima Suksesmandiri Tbk.,Pengembangan
GTSI,Energy,GTS Internasional Tbk.,Pengembangan
GULA,Consumer Non-Cyclicals,Aman Agrindo Tbk.,Pengembangan
GUNA,Consumer Non-Cyclicals,Gunanusa Eramandiri Tbk.,Pengembangan
GWSA,Consumer Cyclicals,Greenwood Sejahtera Tbk.,Pengembangan
GZCO,Consumer Non-Cyclicals,Gozco Plantations Tbk.,Utama
HADE,Infrastructures,Himalaya Energi Perkasa Tbk.,Pemantauan Khusus
HAIS,Transportation & Logistic,Hasnur Internasional Shipping,Pengembangan
HAJJ,Consumer Cyclicals,Arsy Buana Travelindo Tbk.,Akselerasi
HALO,Healthcare,Haloni Jane Tbk.,Pengembangan
HATM,Transportation & Logistic,Habco Trans Maritima Tbk.,Utama
HBAT,Properties & Real Estate,Minahasa Membangun Hebat Tbk.,Akselerasi
HDFA,Financials,Radana Bhaskara Finance Tbk.,Pengembangan
HDIT,Technology,Hensel Davest Indonesia Tbk.,Utama
HEAL,Healthcare,Medikaloka Hermina Tbk.,Utama
HELI,Transportation & Logistic,Jaya Trishindo Tbk.,Pengembangan
HERO,Consumer Non-Cyclicals,DFI Retail Nusantara Tbk.,Utama
HEXA,Industrials,Hexindo Adiperkasa Tbk.,Utama
HGII,Infrastructures,Hero Global Investment Tbk.,Pengembangan
HILL,Energy,Hillcon Tbk.,Pemantauan Khusus
HITS,Energy,Humpuss Intermoda Transportasi,Pemantauan Khusus
HKMU,Basic Materials,HK Metals Utama Tbk.,Pemantauan Khusus
HMSP,Consumer Non-Cyclicals,H.M. Sampoerna Tbk.,Utama
HOKI,Consumer Non-Cyclicals,Buyung Poetra Sembada Tbk.,Pengembangan
HOME,Consumer Cyclicals,Hotel Mandarine Regency Tbk.,Pemantauan Khusus
HOMI,Properties & Real Estate,Grand House Mulia Tbk.,Pengembangan
HOPE,Industrials,Harapan Duta Pertiwi Tbk.,Pengembangan
HOTL,Consumer Cyclicals,Saraswati Griya Lestari Tbk.,Pemantauan Khusus
HRME,Consumer Cyclicals,Menteng Heritage Realty Tbk.,Pemantauan Khusus
HRTA,Consumer Cyclicals,Hartadinata Abadi Tbk.,Utama
